date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:06	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261a66130-8a75%22	https://ninjashoping.xyz/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://ninjashoping.xyz/)
13:47:06	56222/56222	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261a66130-db9e%22	https://ninjashoping.xyz/assets/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/glightbox/js/glightbox.min.js	(from https://ninjashoping.xyz/)
13:47:06	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73a03c-247b%22	https://ninjashoping.xyz/client.crisp.chat/l.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/client.crisp.chat/l.js	(from https://ninjashoping.xyz/)
13:47:06	4043/4043	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261a66130-fcb%22	https://ninjashoping.xyz/assets/js/main.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/js/main.js	(from https://ninjashoping.xyz/)
13:47:07	9127/9127	---M-Z	200	added ('OK')	text/html	etag:W/%2261a66130-23a7%22	https://ninjashoping.xyz/window.location.html	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/window.location.html	(from https://ninjashoping.xyz/)
13:47:07	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73a03c-247b%22	https://ninjashoping.xyz/app.betimes.pl/countdown/9172203390401277/loader308d.js?email=	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/app.betimes.pl/countdown/9172203390401277/loader308d308d.js	(from https://ninjashoping.xyz/)
13:47:07	20622/20622	---M-Z	200	added ('OK')	text/html	etag:W/%2261a66130-508e%22	https://ninjashoping.xyz/index.html	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/index-3.html	(from https://ninjashoping.xyz/assets/vendor/bootstrap/css/bootstrap.min.css)
13:47:08	90528/90528	---M--	200	added ('OK')	font/woff2	etag:%2261a66130-161a0%22	https://ninjashoping.xyz/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff2?856008caa5eb66df68595e734e59580d	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f363f3.woff2	(from https://ninjashoping.xyz/assets/vendor/bootstrap-icons/bootstrap-icons.css)
13:47:08	120468/120468	---M--	200	added ('OK')	font/woff	etag:%2261a66130-1d694%22	https://ninjashoping.xyz/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff?856008caa5eb66df68595e734e59580d	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f363f3.woff	(from https://ninjashoping.xyz/assets/vendor/bootstrap-icons/bootstrap-icons.css)
13:47:08	403228/403228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261a66130-6271c%22	https://ninjashoping.xyz/assets/vendor/remixicon/remixicondf6d.eot?t=1590207869815	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/remixicon/remixicondf6ddf6d.eot	(from https://ninjashoping.xyz/assets/vendor/remixicon/remixicon.css)
13:47:08	15961279/15961279	---M--	200	added ('OK')	image/png	etag:%2261a6612f-f38cbf%22	https://ninjashoping.xyz/assets/img/shop/150+%20Skins.png	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/shop/150+%20Skins.png	(from https://ninjashoping.xyz/)
13:47:08	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%2261a66130-1e954%22	https://ninjashoping.xyz/assets/vendor/remixicon/remixicondf6d.woff2?t=1590207869815	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/remixicon/remixicondf6ddf6d.woff2	(from https://ninjashoping.xyz/assets/vendor/remixicon/remixicon.css)
13:47:09	172876/172876	---M--	200	added ('OK')	font/woff	etag:%2261a66130-2a34c%22	https://ninjashoping.xyz/assets/vendor/remixicon/remixicondf6d.woff?t=1590207869815	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/remixicon/remixicondf6ddf6d.woff	(from https://ninjashoping.xyz/assets/vendor/remixicon/remixicon.css)
13:47:09	403056/403056	---M-Z	200	added ('OK')	font/ttf	etag:W/%2261a66130-62670%22	https://ninjashoping.xyz/assets/vendor/remixicon/remixicondf6d.ttf?t=1590207869815	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/remixicon/remixicondf6ddf6d.ttf	(from https://ninjashoping.xyz/assets/vendor/remixicon/remixicon.css)
13:47:09	1195522/1195522	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2261a66130-123e02%22	https://ninjashoping.xyz/assets/vendor/remixicon/remixicondf6d.svg?t=1590207869815	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/remixicon/remixicondf6ddf6d.svg	(from https://ninjashoping.xyz/assets/vendor/remixicon/remixicon.css)
13:47:10	9127/9127	---M-Z	200	added ('OK')	text/html	etag:W/%2261a66130-23a7%22	https://ninjashoping.xyz/assets/img/tlo.html	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/tlo.html	(from https://ninjashoping.xyz/assets/css/style.css)
13:47:10	9127/9127	---M-Z	200	added ('OK')	text/html	etag:W/%2261a66130-23a7%22	https://ninjashoping.xyz/assets/img/team-shape.html	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/team-shape.html	(from https://ninjashoping.xyz/assets/css/style.css)
13:47:10	9127/9127	---M-Z	200	added ('OK')	text/html	etag:W/%2261a6612f-23a7%22	https://ninjashoping.xyz/assets/img/footer-bg.html	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/footer-bg.html	(from https://ninjashoping.xyz/assets/css/style.css)
13:47:12	17522049/17522049	---M--	200	added ('OK')	image/png	etag:%2261a6612f-10b5d81%22	https://ninjashoping.xyz/assets/img/hero-bg.png	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/hero-bg.png	(from https://ninjashoping.xyz/assets/css/style.css)
